Time (s),"Breathing (0.3-0.7Hz, norm)","Heartbeat (0.8-2.0Hz, norm)"
3.794167,-0.046719868,-0.465288412
3.804167,-0.048727933,-0.456830876
3.814167,-0.050681221,-0.44591756
3.824167,-0.052576094,-0.432638561
3.834167,-0.054408933,-0.417097287
3.844167,-0.056176142,-0.399409997
3.854167,-0.057874155,-0.379705238
3.864167,-0.059499438,-0.358123197
3.874167,-0.061048496,-0.334814939
3.884167,-0.062517876,-0.309941533
3.894167,-0.063904169,-0.283673067
3.904167,-0.065204021,-0.256187543
3.914167,-0.066414131,-0.227669652
3.924167,-0.067531259,-0.198309447
3.934167,-0.068552232,-0.168300907
3.944167,-0.069473943,-0.137840407
3.954167,-0.070293361,-0.107125115
3.964167,-0.071007534,-0.076351329
3.974167,-0.071613591,-0.045712767
3.984167,-0.072108751,-0.01539885
3.994167,-0.072490324,0.01440701312
4.004167,-0.072755715,0.043529105
4.014167,-0.072902434,0.071801012
4.024167,-0.072928093,0.099067147
4.034167,-0.072830414,0.1251841484
4.044167,-0.072607237,0.1500221325
4.054167,-0.072256516,0.1734657646
4.064167,-0.071776332,0.1954151317
4.074167,-0.07116489,0.2157863914
4.084167,-0.07042053,0.2345121815
4.094167,-0.069541725,0.2515417776
4.104167,-0.068527089,0.2668409916
4.114167,-0.067375382,0.2803918098
4.124167,-0.066085508,0.2921917777
4.134167,-0.064656528,0.3022531401
4.144167,-0.063087656,0.3106017591
4.154167,-0.061378267,0.3172758304
4.164167,-0.0595279,0.3223244307
4.174167,-0.057536262,0.3258059275
4.184167,-0.055403229,0.3277862886
4.194167,-0.053128853,0.3283373302
4.204167,-0.050713366,0.3275349431
4.214167,-0.048157177,0.3254573377
4.224167,-0.045460882,0.3221833467
4.234167,-0.042625264,0.3177908236
4.244167,-0.039651295,0.3123551724
4.254167,-0.036540142,0.3059480408
4.264167,-0.033293165,0.2986362042
4.274167,-0.029911921,0.2904806654
4.284167,-0.02639817,0.2815359861
4.294167,-0.02275387,0.2718498645
4.304167,-0.018981185,0.2614629652
4.314167,-0.015082481,0.250409001
4.324167,-0.011060333,0.2387150634
4.334167,-0.006917521,0.2264021827
4.344167,-0.002657035,0.2134861119
4.354167,0.001717931,0.1999782994
4.364167,0.006203968,0.1858870286
4.374167,0.01079746435,0.1712186915
4.384167,0.01549459569,0.1559791593
4.394167,0.02029133176,0.1401752129
4.404167,0.02518343482,0.1238159919
4.414167,0.030166461,0.1069144223
4.424167,0.03523576299,0.089488582
4.434167,0.040386489,0.071562965
4.444167,0.045613588,0.05316960896
4.454167,0.05091181095,0.03434905
4.464167,0.056275712,0.01515108833
4.474167,0.061699652,-0.004364671
4.484167,0.067177807,-0.024128504
4.494167,0.072704162,-0.044060496
4.504167,0.078272525,-0.06407071
4.514167,0.083876525,-0.084059604
4.524167,0.08950962,-0.103918675
4.534167,0.095165099,-0.123531325
4.544167,0.100836093,-0.142773937
4.554167,0.1065155741,-0.161517133
4.564167,0.1121963668,-0.179627202
4.574167,0.1178711522,-0.196967652
4.584167,0.1235324759,-0.213400889
4.594167,0.1291727547,-0.228789959
4.604167,0.1347842848,-0.243000358
4.614167,0.1403592493,-0.255901845
4.624167,0.145889727,-0.267370258
4.634167,0.1513677011,-0.277289273
4.644167,0.1567850679,-0.285552111
4.654167,0.1621336464,-0.292063126
4.664167,0.1674051883,-0.296739285
4.674167,0.1725913876,-0.299511492
